id,cidade,bairro,quartos,area_m2,preco,tipo
514,Rio de Janeiro,Vila Nova,1,78,943507,casa
515,Goiânia,Ponta Verde,1,207,1099140,apartamento
516,Salvador,Boa Viagem,3,181,1168096,apartamento
517,Curitiba,Alvorada,1,39,923796,apartamento
518,Belo Horizonte,Cidade Baixa,4,216,1153857,apartamento
519,Belo Horizonte,Bela Vista,3,165,504752,apartamento
520,Belo Horizonte,Santa Cruz,4,156,972786,casa
521,Recife,Jardins,2,70,404989,apartamento
522,Manaus,Ponta Verde,4,52,535849,casa
523,Manaus,Alvorada,1,137,737520,apartamento
524,Fortaleza,Jardins,2,216,948473,apartamento
525,Goiânia,Santa Cruz,4,116,680249,casa
526,Goiânia,Boa Viagem,3,138,215691,casa
527,Salvador,Ponta Verde,4,213,655381,casa
528,Porto Alegre,Boa Viagem,4,87,1116515,casa
529,Manaus,Bela Vista,1,196,1089762,apartamento
530,Belo Horizonte,Bela Vista,4,68,243157,casa
531,São Paulo,Boa Viagem,2,144,277738,apartamento
532,Fortaleza,Vila Nova,1,63,629033,apartamento
533,Salvador,Santa Cruz,4,213,721174,apartamento
534,Porto Alegre,Santa Cruz,4,208,1161808,casa
535,Fortaleza,Santa Cruz,3,129,1121625,apartamento
536,Salvador,Jardins,2,103,683103,apartamento
537,Porto Alegre,Centro,1,51,595185,casa
538,Recife,Santa Cruz,4,173,1087409,apartamento
539,Porto Alegre,Centro,3,56,624868,apartamento
540,Salvador,Alvorada,3,65,351382,apartamento
541,Porto Alegre,Alvorada,3,55,997235,casa
542,Goiânia,Boa Viagem,4,113,195178,apartamento
543,Curitiba,Bela Vista,4,174,636484,apartamento
544,Manaus,Bela Vista,3,158,1099391,apartamento
545,Rio de Janeiro,Cidade Baixa,1,100,618038,apartamento
546,São Paulo,Boa Viagem,3,106,351357,apartamento
547,Manaus,Santo Antônio,1,82,237418,casa
548,Salvador,Centro,2,45,828282,apartamento
549,Rio de Janeiro,Bela Vista,3,209,796482,apartamento
550,Goiânia,Santo Antônio,1,193,688734,casa
551,Recife,Boa Viagem,4,72,1071537,apartamento
552,Salvador,Vila Nova,3,66,409933,apartamento
553,Fortaleza,Boa Viagem,3,172,203822,apartamento
554,Salvador,Centro,4,90,561130,apartamento
555,Recife,Alvorada,1,184,527503,apartamento
556,Curitiba,Boa Viagem,3,211,209753,apartamento
557,Goiânia,Ponta Verde,1,73,879817,apartamento
558,São Paulo,Vila Nova,3,107,344286,casa
559,São Paulo,Bela Vista,1,128,1145617,casa
560,Goiânia,Vila Nova,3,171,483985,casa
561,São Paulo,Cidade Baixa,2,117,351024,apartamento
562,Curitiba,Jardins,4,208,672173,apartamento
563,Porto Alegre,Ponta Verde,4,155,570186,casa
564,Salvador,Jardins,3,55,728428,apartamento
565,Porto Alegre,Ponta Verde,2,89,193872,casa
566,Manaus,Vila Nova,3,202,735259,apartamento
567,Manaus,Alvorada,1,184,630700,apartamento
568,Curitiba,Bela Vista,2,147,222640,casa
569,Salvador,Ponta Verde,4,197,983503,apartamento
570,Belo Horizonte,Cidade Baixa,4,161,496745,casa
571,Curitiba,Jardins,4,87,923787,apartamento
572,Fortaleza,Santo Antônio,2,189,414014,casa
573,Rio de Janeiro,Santa Cruz,1,173,1158174,apartamento
574,Recife,Ponta Verde,2,113,1006777,apartamento
575,Fortaleza,Santa Cruz,3,182,517584,apartamento
576,Goiânia,Ponta Verde,1,145,1162922,apartamento
577,Curitiba,Vila Nova,4,74,420753,casa
578,Recife,Jardins,4,197,717000,casa
579,São Paulo,Vila Nova,2,96,684431,casa
580,Goiânia,Centro,1,219,1042021,apartamento
581,Salvador,Alvorada,4,52,893698,casa
582,Porto Alegre,Cidade Baixa,4,186,528648,casa
583,Porto Alegre,Jardins,4,145,710512,apartamento
584,Salvador,Bela Vista,1,177,757056,casa
585,São Paulo,Cidade Baixa,2,156,729165,apartamento
586,Salvador,Boa Viagem,1,120,708114,casa
587,São Paulo,Ponta Verde,3,132,724698,casa
588,Fortaleza,Vila Nova,4,178,410303,casa
589,Porto Alegre,Ponta Verde,4,143,405338,casa
590,São Paulo,Vila Nova,1,213,692253,apartamento
591,Rio de Janeiro,Vila Nova,2,189,608537,casa
592,Rio de Janeiro,Vila Nova,1,199,1014549,casa
593,Goiânia,Centro,3,60,763761,casa
594,Rio de Janeiro,Vila Nova,4,205,1012228,apartamento
595,Manaus,Vila Nova,1,204,1057717,apartamento
596,São Paulo,Santo Antônio,4,190,228428,apartamento
597,São Paulo,Cidade Baixa,2,94,694415,apartamento
598,Goiânia,Ponta Verde,2,137,770155,casa
599,Curitiba,Bela Vista,3,218,726221,casa
600,Fortaleza,Alvorada,4,49,444395,casa
601,Salvador,Centro,4,163,533831,apartamento
602,Manaus,Boa Viagem,4,170,1010972,casa
603,Curitiba,Bela Vista,3,128,914059,apartamento
604,São Paulo,Cidade Baixa,4,98,965668,apartamento
605,Belo Horizonte,Bela Vista,1,120,535264,apartamento
606,São Paulo,Santa Cruz,4,211,1139032,apartamento
607,Salvador,Vila Nova,1,172,691681,casa
608,Goiânia,Bela Vista,3,219,1052105,apartamento
609,Porto Alegre,Centro,3,132,723830,casa
610,Curitiba,Jardins,1,117,256994,apartamento
611,Recife,Centro,1,77,1171686,apartamento
612,Salvador,Centro,2,140,751778,apartamento
613,Rio de Janeiro,Santa Cruz,4,174,820970,apartamento
614,São Paulo,Boa Viagem,4,153,837925,apartamento
615,Manaus,Centro,2,97,859840,apartamento
616,Porto Alegre,Santa Cruz,4,169,496102,apartamento
617,Fortaleza,Cidade Baixa,3,44,1149425,apartamento
618,Fortaleza,Santo Antônio,3,43,259618,apartamento
619,Curitiba,Vila Nova,3,160,419249,apartamento
620,Manaus,Bela Vista,1,128,800577,apartamento
621,Salvador,Cidade Baixa,2,191,1144216,casa
622,Belo Horizonte,Cidade Baixa,2,64,723771,apartamento
623,Manaus,Bela Vista,1,72,782377,apartamento
624,Salvador,Ponta Verde,3,218,884040,apartamento
625,Belo Horizonte,Bela Vista,2,82,504662,apartamento
626,Fortaleza,Santa Cruz,1,178,553813,casa
627,Porto Alegre,Ponta Verde,2,187,643887,apartamento
628,São Paulo,Cidade Baixa,2,114,495803,apartamento
629,Recife,Alvorada,4,83,952477,apartamento
630,Salvador,Boa Viagem,3,177,487203,casa
631,Rio de Janeiro,Cidade Baixa,3,194,310486,apartamento
632,Rio de Janeiro,Cidade Baixa,1,124,203765,apartamento
633,Belo Horizonte,Jardins,1,141,781967,casa
634,Rio de Janeiro,Alvorada,1,96,1016000,apartamento
635,Porto Alegre,Cidade Baixa,4,216,1122560,apartamento
636,Goiânia,Alvorada,2,215,700502,apartamento
637,Porto Alegre,Centro,2,189,1039729,casa
638,Belo Horizonte,Ponta Verde,4,111,886713,casa
639,Curitiba,Bela Vista,1,76,635385,casa
640,Salvador,Centro,4,219,1048962,apartamento
641,Rio de Janeiro,Ponta Verde,2,144,585430,apartamento
642,Recife,Jardins,4,144,623966,apartamento
643,Rio de Janeiro,Centro,2,118,972872,apartamento
644,Curitiba,Alvorada,2,46,330957,apartamento
645,Belo Horizonte,Bela Vista,3,195,806964,casa
646,São Paulo,Jardins,2,150,633942,casa
647,Curitiba,Santo Antônio,4,129,837177,casa
648,São Paulo,Jardins,4,153,834106,apartamento
649,Salvador,Vila Nova,3,108,1043805,apartamento
650,Rio de Janeiro,Alvorada,3,44,836742,apartamento
651,Curitiba,Bela Vista,3,54,670165,apartamento
652,Fortaleza,Santa Cruz,4,116,336918,apartamento
653,São Paulo,Jardins,4,101,703399,apartamento
654,Fortaleza,Bela Vista,1,183,802951,apartamento
655,Fortaleza,Boa Viagem,3,129,800950,apartamento
656,Belo Horizonte,Cidade Baixa,4,134,1082136,apartamento
657,Rio de Janeiro,Alvorada,1,44,416840,casa
658,Salvador,Centro,2,123,549949,apartamento
659,Curitiba,Alvorada,3,212,458244,casa
660,Fortaleza,Cidade Baixa,2,84,749357,casa
661,Curitiba,Boa Viagem,1,114,681595,apartamento
662,Curitiba,Jardins,3,130,479399,apartamento
663,Rio de Janeiro,Santa Cruz,4,112,798446,apartamento
664,Belo Horizonte,Santa Cruz,1,67,463378,casa
665,Goiânia,Cidade Baixa,4,188,1053921,apartamento
666,Curitiba,Jardins,2,214,198469,apartamento
667,São Paulo,Boa Viagem,3,111,445705,apartamento
668,Recife,Santo Antônio,4,62,728792,apartamento
669,São Paulo,Ponta Verde,3,166,244104,apartamento
670,Rio de Janeiro,Ponta Verde,4,100,279940,apartamento
671,Curitiba,Boa Viagem,1,121,286573,apartamento
672,Porto Alegre,Bela Vista,4,161,750842,apartamento
673,Belo Horizonte,Jardins,1,162,1027216,casa
674,Rio de Janeiro,Ponta Verde,4,62,237539,casa
675,Fortaleza,Ponta Verde,3,146,505823,apartamento
676,Salvador,Cidade Baixa,1,142,863515,casa
677,São Paulo,Vila Nova,4,186,878438,apartamento
678,Curitiba,Jardins,3,105,377910,casa
679,Curitiba,Centro,4,46,245358,apartamento
680,Curitiba,Centro,2,166,642709,apartamento
681,Salvador,Centro,3,73,366370,apartamento
682,Rio de Janeiro,Jardins,3,77,218635,apartamento
683,Fortaleza,Cidade Baixa,1,64,520340,apartamento
684,Porto Alegre,Santa Cruz,2,42,290084,apartamento
685,Fortaleza,Bela Vista,2,170,337481,apartamento
686,Belo Horizonte,Vila Nova,3,47,223037,apartamento
687,Curitiba,Boa Viagem,2,85,887134,apartamento
688,São Paulo,Santa Cruz,4,73,876833,apartamento
689,Rio de Janeiro,Boa Viagem,1,57,309403,apartamento
690,Porto Alegre,Ponta Verde,3,91,424490,casa
691,Rio de Janeiro,Bela Vista,2,202,372776,apartamento
692,Belo Horizonte,Ponta Verde,4,67,1025303,apartamento
693,Belo Horizonte,Bela Vista,3,123,1062838,apartamento
694,Porto Alegre,Santa Cruz,2,93,509059,apartamento
695,Manaus,Santo Antônio,3,114,829014,apartamento
696,Fortaleza,Centro,2,105,802001,casa
697,Fortaleza,Santo Antônio,2,106,372313,casa
698,São Paulo,Boa Viagem,3,101,648506,apartamento
699,Recife,Bela Vista,3,207,790675,casa
700,Salvador,Vila Nova,4,97,563514,apartamento
